JPEG_size,EDGE_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND_CONTRAST,CONTOUR_CONGESTION,evaluation,general_difficulty
133233,0.0172,2.4407,2.765,0.7064,0.5636,0,62
153711,0.0218,2.9606,3.2066,0.7015,0.4331,0,62
139979,0.0203,2.6423,2.6218,0.6787,0.5858,0,62
108292,0.013,2.3357,2.4241,0.6778,0.4967,0,34
103520,0.0149,2.2684,2.5325,0.7262,0.599,0,14
136591,0.0153,2.6085,2.6378,0.7027,0.6431,0,60
128073,0.014,2.4628,2.4578,0.7807,0.5088,0,66
129133,0.0203,2.6984,2.6549,0.6646,0.3883,0,61
140413,0.0191,2.9235,2.7731,0.747,0.523,0,61
134523,0.0172,2.8195,2.7287,0.7395,0.5371,1,61
136423,0.02,2.5747,3.3906,0.6654,0.6192,1,68
151848,0.0261,2.9534,3.3726,0.7128,0.562,1,68
123532,0.0208,2.7848,3.1497,0.7006,0.5115,1,68
138887,0.02,2.5775,2.8661,0.6777,0.6058,1,89
109211,0.017,2.4866,2.7081,0.659,0.5713,0,50
115588,0.0149,2.4481,2.4251,0.6516,0.4594,1,55
92809,0.0133,2.0173,2.6076,0.6537,0.578,1,28
109453,0.0138,2.4106,2.4814,0.6991,0.4157,1,43
107079,0.0144,2.3764,2.6218,0.7323,0.496,1,43
100945,0.012,2.6082,2.3729,0.7136,0.5633,1,50
113432,0.0128,2.2355,2.351,0.7284,0.545,1,77
109555,0.017,2.4613,2.8016,0.7231,0.6189,1,28
129184,0.0167,2.4888,2.728,0.6615,0.6036,1,55
109717,0.0157,2.4208,2.4286,0.7065,0.4684,0,28
136843,0.0154,2.6271,2.6464,0.6929,0.6401,1,67
146925,0.0162,2.9477,2.664,0.6787,0.4014,1,67
160690,0.0206,3.0773,2.925,0.7432,0.4639,0,77
141206,0.0138,2.8202,2.6403,0.7924,0.4762,0,77
120512,0.0151,2.5083,2.6131,0.6765,0.5602,1,43
108997,0.014,2.3171,2.2364,0.688,0.6098,0,21
103004,0.0133,2.5906,2.1139,0.6896,0.4476,0,21
108467,0.0145,2.2579,2.7206,0.6722,0.4354,0,21
83765,0.01,1.9324,2.0669,0.6155,0.4243,0,21
81076,0.0072,1.7079,2.0956,0.7582,0.4751,0,21
116060,0.0127,2.4511,2.3631,0.8151,0.4702,1,21
93137,0.0114,2.1702,2.1965,0.6681,0.5216,1,21
88998,0.0105,2.0707,2.0872,0.7243,0.5337,1,21
143376,0.0185,2.5188,2.8294,0.7125,0.4914,0,17
131921,0.0173,2.7614,2.806,0.7178,0.5843,0,36
101196,0.0093,2.2609,2.2202,0.8361,0.5011,0,21
141710,0.0197,2.5462,2.9614,0.7176,0.5208,0,62
129059,0.0157,2.5195,2.6837,0.7777,0.4794,0,60
101278,0.0134,2.2636,2.0675,0.6494,0.4497,1,14
120009,0.0121,2.3736,2.3466,0.7945,0.4627,0,60
166164,0.0237,3.0097,2.6754,0.673,0.5252,0,62
99407,0.0106,2.5399,2.2061,0.7934,0.4447,1,34
106343,0.0133,2.5849,2.4762,0.7011,0.53,1,55
80264,0.006,1.9042,1.9351,0.7727,0.3083,1,14
81143,0.0085,1.9036,1.9403,0.6707,0.5364,1,34
85486,0.0099,1.8595,2.0353,0.6711,0.3461,0,14
90622,0.0099,1.9374,2.0362,0.7209,0.572,0,47
126730,0.0144,2.6093,2.561,0.7158,0.4832,0,60
117426,0.0153,2.3529,2.4064,0.6856,0.5154,0,47
124851,0.0178,2.4903,2.4198,0.6759,0.5636,0,57
90958,0.0105,2.1718,2.0598,0.7329,0.5381,0,57
143993,0.0159,2.8399,2.8508,0.7691,0.5536,0,62
115625,0.0137,2.2391,2.0329,0.6973,0.5105,0,47
128724,0.0154,2.4185,2.6736,0.6809,0.609,1,55
156975,0.0218,3.1083,2.5207,0.6946,0.337,0,57
90913,0.0118,2.2029,2.2488,0.6804,0.4486,1,14
122394,0.0149,2.2132,2.7898,0.7233,0.5316,0,47
94853,0.0109,1.9841,2.1062,0.7124,0.4891,0,47
87441,0.0104,2.0516,2.0637,0.7014,0.4676,1,21
105258,0.0106,2.3492,2.363,0.8413,0.3307,0,14
96022,0.0103,2.2231,2.22,0.7076,0.458,1,14
97805,0.012,2.1786,2.2152,0.7289,0.5513,1,34
96687,0.0114,1.896,2.3264,0.7513,0.6068,1,14
152275,0.0219,2.9607,2.5412,0.6917,0.4577,0,21
94242,0.0141,2.4391,2.2522,0.6887,0.4272,1,55
102467,0.0114,1.9011,2.4551,0.6334,0.5727,0,66
113818,0.0141,2.7187,2.4284,0.7795,0.3303,1,57
103863,0.0143,2.3157,2.4108,0.676,0.4327,1,57
154536,0.0215,3.0138,2.4759,0.6815,0.4216,1,57
93408,0.0115,1.9515,2.196,0.6104,0.4896,0,34
88135,0.0101,1.9371,2.2224,0.666,0.3654,1,14
94050,0.0094,1.9453,2.3686,0.7561,0.4115,0,14
96895,0.0106,2.1645,2.1243,0.7271,0.4827,0,60
121328,0.0136,2.865,2.4741,0.6523,0.1926,0,14
112551,0.014,2.5456,2.3445,0.7434,0.463,0,57
125368,0.0147,2.6707,2.4908,0.7594,0.519,0,47
114049,0.0116,2.4849,2.4116,0.7255,0.5338,1,66
84848,0.0083,1.9131,2.204,0.7654,0.4804,1,14
137091,0.0185,2.8675,2.7239,0.7525,0.5356,0,62
117950,0.0115,2.7509,2.4398,0.7951,0.4582,1,34
104806,0.012,2.159,2.2556,0.6861,0.5842,0,60
100854,0.0114,2.0921,2.1886,0.7175,0.5603,1,66
149254,0.0173,2.7989,2.7526,0.771,0.5055,0,62
109289,0.0127,2.5694,2.4568,0.727,0.5089,1,14
105168,0.0157,2.3438,2.5354,0.6876,0.4873,0,55
100210,0.0118,1.9981,2.2619,0.7309,0.5815,0,57
108967,0.0117,2.0819,2.4156,0.6967,0.5233,0,57
95261,0.0125,2.2771,2.3633,0.6833,0.5014,1,55
106592,0.0128,2.2401,2.3379,0.6833,0.4866,0,47
133649,0.0203,2.5232,3.043,0.6939,0.599,0,34
101490,0.0113,2.1835,2.2939,0.7319,0.3901,1,14
85632,0.0122,2.0549,2.0287,0.6715,0.3785,1,14
120450,0.0139,2.5685,2.3869,0.7616,0.549,0,66
122566,0.0141,2.358,2.7943,0.7658,0.462,1,34
86305,0.0065,1.7154,2.0505,0.8058,0.449,0,47
155330,0.022,3.1962,2.5475,0.681,0.4005,0,14
104701,0.01,2.2068,2.1277,0.8121,0.4563,0,47
119407,0.0151,2.2747,2.4589,0.7031,0.5826,0,66
139889,0.0165,2.6393,2.6215,0.7659,0.4222,0,14
103740,0.0132,1.8706,2.5767,0.6673,0.7011,0,34
112337,0.0122,2.6092,2.4,0.72,0.4914,0,47
98933,0.0125,2.2857,2.31,0.6473,0.4883,1,14
140018,0.015,2.537,2.7029,0.7915,0.5284,0,60
107808,0.0122,2.2963,2.2255,0.718,0.5243,0,57
109290,0.0182,2.7129,2.8193,0.6834,0.5031,0,55
151065,0.0183,2.8341,2.7686,0.7526,0.5202,0,62
105026,0.0113,2.227,2.1059,0.6632,0.6168,0,60
123952,0.015,2.7245,2.4479,0.7386,0.5244,0,66
108723,0.0152,2.2271,2.5298,0.7113,0.6757,0,34
96280,0.0118,2.2885,2.0241,0.6915,0.463,0,47
119839,0.0157,2.3738,2.5649,0.7352,0.5632,0,62
91351,0.0108,2.4134,2.0947,0.6861,0.3668,1,14
120474,0.0126,2.4752,2.3994,0.711,0.6343,0,66
149193,0.021,3.0351,2.3862,0.6699,0.4371,1,14
132659,0.0188,2.28,3.1545,0.6598,0.6862,0,62
89574,0.0101,2.0519,2.1039,0.7013,0.4597,1,14
97180,0.0104,1.9441,2.1045,0.6683,0.6563,0,47
81851,0.0082,1.8962,1.8987,0.6889,0.5646,0,47
91245,0.0105,1.8085,2.3348,0.684,0.5057,0,34
148179,0.0199,2.9208,2.9014,0.7651,0.5257,1,62
106524,0.0124,2.4205,2.4534,0.7129,0.4287,0,14
88307,0.0105,2.215,1.964,0.6786,0.39,0,14
132440,0.0203,2.7902,2.9538,0.7534,0.478,0,55
117438,0.015,2.3976,2.3296,0.69,0.5623,1,57
126714,0.0166,2.7923,2.7515,0.7157,0.4548,1,41
113016,0.0136,2.6746,2.3835,0.7607,0.4659,0,35
101380,0.0107,2.0941,2.2193,0.6597,0.5242,1,55
157153,0.023,2.9723,3.0286,0.7214,0.4938,1,35
148915,0.0191,2.9725,2.7559,0.6581,0.43,1,35
126768,0.0198,2.9729,2.8323,0.7517,0.4545,0,28
159718,0.0208,2.8705,2.4868,0.6765,0.4295,0,31
117920,0.0147,2.4896,2.5751,0.6885,0.4898,0,28
120155,0.0131,2.6399,2.3453,0.7627,0.3977,0,35
115802,0.015,2.4765,2.4768,0.6847,0.5217,1,35
114374,0.019,2.4549,3.1684,0.6641,0.6094,1,35
100903,0.0099,2.3308,2.1653,0.7947,0.5009,0,21
95292,0.0106,2.072,2.223,0.7379,0.5208,1,21
108258,0.0121,2.0928,2.2305,0.691,0.6096,0,17
90323,0.0103,1.8621,2.365,0.6798,0.5961,0,21
131458,0.0174,2.3672,3.0454,0.6514,0.5662,0,17
82403,0.0091,1.8033,2.2278,0.6707,0.4845,0,21
117339,0.0107,2.6969,2.3854,0.8077,0.5165,0,21
97198,0.0107,2.0611,2.211,0.7297,0.5103,0,21
117634,0.0128,2.1946,2.3833,0.719,0.4822,0,66
128408,0.0157,2.7312,2.7989,0.7561,0.4941,1,34
94678,0.0144,2.2078,2.4108,0.7246,0.4651,0,14
109464,0.0154,2.1543,2.6154,0.6842,0.5042,0,21
108460,0.0127,2.2345,2.5274,0.7313,0.468,1,21
129967,0.0143,2.6613,2.4631,0.775,0.4224,1,14
85683,0.0075,1.9052,2.0827,0.7668,0.4563,1,34
89746,0.0103,1.9938,2.2906,0.7161,0.2984,0,14
103439,0.0121,2.319,2.1226,0.7249,0.5477,0,66
125984,0.0144,2.935,2.5237,0.6564,0.3667,0,14
119850,0.0126,2.8872,2.4064,0.7136,0.3306,1,21
113893,0.0134,2.2345,2.388,0.6791,0.6496,0,66
109459,0.0125,2.1335,2.3186,0.7003,0.47,0,66
114495,0.0153,2.7454,2.4428,0.7423,0.3936,0,21
90171,0.0122,2.1595,2.121,0.7242,0.3716,1,14
101823,0.0134,2.4002,2.3737,0.6807,0.5074,1,14
95234,0.0096,2.0994,2.0979,0.7608,0.3361,0,14
137011,0.0164,2.774,2.8133,0.7546,0.4647,1,47
115996,0.0119,2.5052,2.2323,0.7826,0.3517,1,21
